State,Total_Production,Avg_Production_Per_Facility,Num_Facilities_Producing,Total_Facilities
TX,9023656.492,820332.4083636365,11,11
CA,7561967.572000001,945245.9465000001,8,8
MO,7268945.396,1453789.0792,5,5
FL,4802223.272,800370.5453333333,6,6
AL,3449047.968,689809.5936,5,5
MI,3186488.56,1593244.28,2,2
PA,3125139.244,446448.4634285714,7,7
MD,2453932.692,1226966.346,2,2
SC,2355831.8279999997,785277.276,3,3
KS,2214814.56,1107407.28,2,2
IN,2111755.6,527938.9,4,4
AZ,2099627.028,699875.676,3,3
CO,1710026.368,570008.7893333334,3,3
UT,1316230.24,658115.12,2,2
IA,1310994.526,655497.263,2,2
NY,1291661.2,645830.6,2,2
KY,1144576.322,1144576.322,1,1
OK,1019593.55,339864.51666666666,3,3
TN,947918.56,473959.28,2,2
VA,911615.18,911615.18,1,1
WV,897770.908,897770.908,1,1
IL,895092.8500000001,447546.42500000005,2,2
AR,886872.38,886872.38,1,1
OH,885071.7,442535.85,2,2
NE,696724.08,696724.08,1,1
OR,690623.07,690623.07,1,1
SD,672984.3,672984.3,1,1
MT,620542.834,310271.417,2,2
WY,486624.048,486624.048,1,1
NV,374849.47,374849.47,1,1
GA,361756.086,361756.086,1,1
WA,358868.09,358868.09,1,1
NM,310275.61,310275.61,1,1
ME,291659.324,291659.324,1,1
PR,0.0,0.0,1,1
