State,State_Abbrev,Cement_Production,Aggregate_Production,Total_Facilities
California,CA,7561967.572000001,101000000.0,8.0
Texas,TX,9023656.492,93600000.0,11.0
Minnesota,,0.0,52500000.0,
Arizona,AZ,2099627.028,44200000.0,3.0
Michigan,MI,3186488.56,42700000.0,2.0
Utah,UT,1316230.24,37400000.0,2.0
Washington,WA,358868.09,35500000.0,1.0
Colorado,CO,1710026.368,34200000.0,3.0
Ohio,OH,885071.7,33400000.0,2.0
Wisconsin,,0.0,29400000.0,
New York,NY,1291661.2,29000000.0,2.0
Florida,FL,4802223.272,24900000.0,6.0
Idaho,,0.0,23200000.0,
Nevada,NV,374849.47,19900000.0,1.0
Indiana,IN,2111755.6,18700000.0,4.0
Illinois,IL,895092.8500000001,17600000.0,2.0
Oregon,OR,690623.07,16100000.0,1.0
Louisiana,,0.0,14300000.0,
Iowa,IA,1310994.526,13900000.0,2.0
Alabama,AL,3449047.968,13600000.0,5.0
New Jersey,,0.0,13500000.0,
Nebraska,NE,696724.08,13300000.0,1.0
Montana,MT,620542.834,12600000.0,2.0
Wyoming,WY,486624.048,12600000.0,1.0
New Mexico,NM,310275.61,12400000.0,1.0
Oklahoma,OK,1019593.55,11400000.0,3.0
North Dakota,,0.0,10900000.0,
South Dakota,SD,672984.3,10700000.0,1.0
Kansas,KS,2214814.56,10500000.0,2.0
South Carolina,SC,2355831.8279999997,10100000.0,3.0
Pennsylvania,PA,3125139.244,9600000.0,7.0
Massachusetts,,0.0,9370000.0,
North Carolina,,0.0,9080000.0,
Virginia,VA,911615.18,8610000.0,1.0
Missouri,MO,7268945.396,8450000.0,5.0
Kentucky,KY,1144576.322,8440000.0,1.0
Maine,ME,291659.324,8370000.0,1.0
Mississippi,,0.0,7950000.0,
Tennessee,TN,947918.56,7550000.0,2.0
New Hampshire,,0.0,7440000.0,
Arkansas,AR,886872.38,6990000.0,1.0
Maryland,MD,2453932.692,5880000.0,2.0
Georgia,GA,361756.086,5850000.0,1.0
Alaska,,0.0,5580000.0,
Vermont,,0.0,5070000.0,
Connecticut,,0.0,4200000.0,
Rhode Island,,0.0,3540000.0,
Delaware,,0.0,2810000.0,
West Virginia,WV,897770.908,587000.0,1.0
Hawaii,,0.0,158000.0,
Puerto Rico,PR,0.0,0.0,1.0
