State,Num_Active_Mines
Minnesota,559
Michigan,411
Wisconsin,388
New York,365
Texas,353
Maine,274
California,241
Colorado,237
Utah,213
Arizona,193
Montana,184
Washington,176
Idaho,165
North Dakota,152
Wyoming,140
New Hampshire,139
Ohio,139
South Dakota,133
Alaska,121
Iowa,118
Nebraska,113
Indiana,109
Massachusetts,97
Nevada,97
New Mexico,95
Louisiana,90
Kansas,87
Illinois,84
Oregon,78
Vermont,77
North Carolina,70
Pennsylvania,69
Missouri,67
Oklahoma,57
Florida,52
Mississippi,49
Virginia,48
Alabama,47
Connecticut,47
New Jersey,43
South Carolina,41
Arkansas,35
Georgia,34
Tennessee,30
Rhode Island,28
Maryland,23
Kentucky,20
Puerto Rico,17
Hawaii,15
Delaware,6
Commonwealth of the Northern Mariana Islands,6
West Virginia,4
Guam,3
American Samoa,3
