state,state_abbrev,residential_stock,commercial_stock,institutional_stock,industrial_stock,total_stock,population,gdp,floor_area,stock_per_capita
California,CA,634.9258943022085,313.73002615021204,130.2170283806344,107.95847750865053,1186.8314263417055,39.0,3900,8000,30.431575034402705
Texas,TX,498.9741171672889,199.4059675939638,100.16694490818028,66.43598615916954,864.9830158286024,30.0,2400,6500,28.83276719428675
Florida,FL,373.0390345231875,128.40391603036892,73.45575959933221,38.75432525951557,613.6530354124042,22.0,1400,5000,27.893319791472916
New York,NY,332.7301227236233,156.56568976602063,65.1085141903172,55.36332179930796,609.7676484792692,19.5,2000,4500,31.2701358194497
Pennsylvania,PA,221.8200818157489,76.43890277466751,43.40567612687813,24.91349480968858,366.5781555269831,13.0,900,3000,28.198319655921775
Illinois,IL,211.70653379041403,84.17324154271803,42.07011686143572,27.68166089965398,365.6315530942218,12.6,1000,2800,29.018377229700143
Ohio,OH,197.58630796875195,68.12210054106379,39.39899833055091,22.145328719723185,327.25273556008983,11.8,800,2600,27.733282674583883
Georgia,GA,183.46608214708994,63.23327144931409,36.727879799666105,20.761245674740483,304.1884790708106,11.0,750,2400,27.653498097346418
North Carolina,NC,178.4093081344225,57.433168871134356,36.060100166944906,19.377162629757784,291.27973980225954,10.8,700,2300,26.970346277986994
Michigan,MI,167.34251742726428,52.493715280536875,33.3889816360601,16.608996539792386,269.83421088365367,10.0,600,2200,26.98342108836537
